"what our league position are we",Position
"what position are *",Position
"what position are they",Position
"what position are we",Position
"what position  in the league are *",Position
"what's *'s position in the league",Position
"what's our league position",Position
"what's our position",Position
"what's their position",Position
"what's *'s league position",Position
"what's *'s position",Position
"where are * in the league",Position
"where are * in the table",Position
"where are they in the table",Position
"where are we in the league",Position
"where are we in the table",Position
"where in the league are *",Position
"where in the table are they",Position
"where in the table are *",Position
"where in the table are we",Position
"who's in first",Position
"who's in second",Position
"who's in third",Position
"who's in tenth",Position
"who's in seventeenth",Position
"who's last",Position
"who's fourth",Position
"who's fifth",Position
"who's sixth",Position
"who's eleventh",Position
"who's sixteenth",Position
