"Are * first",Top
"Are * top",Top
"Are * still first",Top
"Are * still top",Top
"Are we first",Top
"Are we still first",Top
"Are we still top",Top
"Are we top",Top
"what team is first",Top
"what team is top",Top
"what team is top of the league",Top
"which club is top",Top
"which team is first",Top
"which team is top",Top
"which team is top of the league",Top
"who are top of the league",Top
"who is top",Top
"who is top of the league",Top
"who's at the top",Top
"whose top",Top
"who's first",Top
"who's first in the table",Top
"who's in the first position",Top
"who's in the top position",Top
"who's top",Top
"who's top of the table",Top
"who's winning",Top
"who's numero uno",Top
"whos numero uno",Top
