"top four?",TopFour
"top four teams",TopFour
"what teams are heading for europe",TopFour
"what teams are in the champoijns league spots",TopFour
"what teams are in the top four",TopFour
"who's battling for champions's league spots",TopFour
"who's in the champion's league places",TopFour
"who's in the top four",TopFour
"who's qualified for champions league",TopFour
"who's qualified for europe",TopFour
"who's qualified for the champions league",TopFour
"who's up for champions league places",TopFour
"who will be in the champions league next year",TopFour
